auroc,npv,ppv,recall,specificity
0.653296241,0.8003,0.352,0.435,0.7387
0.693246772,0.8106,0.3914,0.4577,0.7653
0.711651867,0.8139,0.4182,0.4729,0.778
0.732690387,0.8278,0.4372,0.4949,0.7921
0.744317626,0.8302,0.452,0.5048,0.7981
0.754820955,0.8376,0.4629,0.524,0.8015
0.766174263,0.8425,0.4753,0.5375,0.8066
0.771327586,0.8467,0.4765,0.5503,0.8042
0.778707237,0.8528,0.4819,0.5698,0.8027
0.78331339,0.8577,0.4807,0.5851,0.7982
0.7903409,0.8624,0.4858,0.5988,0.7986
0.79395947,0.8652,0.4886,0.6073,0.7985
0.795814047,0.8667,0.4893,0.6109,0.7987
0.798962961,0.8685,0.4912,0.6147,0.7998
0.802204512,0.871,0.4926,0.6232,0.7985
0.805302711,0.8728,0.4971,0.6293,0.7998
0.807825085,0.8743,0.5022,0.6357,0.8009
0.810258255,0.8757,0.5052,0.6398,0.8019
0.812653742,0.8771,0.5093,0.6429,0.8044
0.815399904,0.8777,0.514,0.6451,0.8068
