auroc,npv,ppv,recall,specificity
0.687987509,0.8203,0.4006,0.4328,0.7999
0.728895596,0.8266,0.4276,0.4467,0.8152
0.761026383,0.8363,0.4705,0.4701,0.8365
0.775258782,0.842,0.4945,0.4861,0.8464
0.795543996,0.8551,0.5109,0.539,0.8405
0.806936365,0.8593,0.5172,0.5551,0.8399
0.822198591,0.873,0.5321,0.6067,0.8352
0.829945046,0.8846,0.5226,0.6561,0.8148
0.83740579,0.8902,0.5201,0.6778,0.8068
0.845209713,0.8946,0.5332,0.6899,0.8133
0.846207523,0.8928,0.5449,0.6795,0.8246
0.844337994,0.8888,0.5405,0.6661,0.825
0.849178352,0.8888,0.5684,0.6574,0.8458
0.851511835,0.8939,0.5512,0.6817,0.8285
0.853052596,0.8954,0.5529,0.6869,0.8284
0.856809465,0.8952,0.5635,0.683,0.8365
0.859145418,0.9,0.5604,0.7016,0.83
0.858008006,0.8942,0.5705,0.6774,0.8424
0.859665736,0.8894,0.5904,0.6539,0.8598
0.86269932,0.8882,0.6028,0.6461,0.8684
